X,Y
84.0,56.8
85.0,86.2
98.0,58.8
93.0,118.2
87.0,83.4
87.0,118.6
17.0,63.8
75.0,97.80000000000001
76.0,99.2
20.0,20.8
65.0,111.0
60.0,72.80000000000001
88.0,104.8
93.0,127.0
87.0,100.19999999999999
73.0,55.0
78.0,61.199999999999996
13.0,54.2
87.0,108.19999999999999
21.0,63.00000000000001
98.0,134.8
9.0,85.4
95.0,89.0
41.0,79.8
15.0,57.800000000000004
18.0,52.4
17.0,51.8
93.0,87.0
19.0,81.00000000000001
62.0,41.199999999999996
69.0,66.2
57.0,47.8
54.0,54.0
12.0,12.0
85.0,117.4
58.0,43.599999999999994
89.0,57.4
80.0,60.0
7.0,66.60000000000001
81.0,50.2
74.0,97.2
68.0,111.2
80.0,65.6
73.0,93.4
80.0,103.2
42.0,38.8
84.0,58.4
8.0,28.8
10.0,55.6
76.0,45.6
12.0,58.400000000000006
29.0,59.0
4.0,65.60000000000001
17.0,55.0
89.0,120.6
9.0,34.2
9.0,28.6
38.0,74.0
55.0,81.80000000000001
55.0,109.0
100.0,139.2
44.0,76.0
9.0,35.0
24.0,23.2
12.0,24.0
29.0,25.4
74.0,107.6
0.0,48.0
84.0,124.80000000000001
21.0,17.4
42.0,26.0
100.0,106.4
53.0,51.8
26.0,83.6
38.0,95.6
84.0,101.6
24.0,40.8
92.0,72.8
86.0,67.6
1.0,6.2
46.0,54.0
58.0,112.4
61.0,114.20000000000002
74.0,54.0
73.0,104.6
11.0,29.800000000000004
21.0,40.6
97.0,88.6
18.0,23.6
15.0,10.6
75.0,105.80000000000001
42.0,50.0
68.0,111.2
75.0,93.0
69.0,73.4
65.0,116.60000000000001
69.0,44.6
23.0,15.399999999999999
16.0,71.2
48.0,88.0
74.0,113.19999999999999
78.0,60.4
15.0,81.8
68.0,96.0
66.0,106.80000000000001
8.0,13.600000000000001
42.0,46.8
70.0,53.2
90.0,85.2
41.0,47.0
72.0,121.6
37.0,45.400000000000006
12.0,30.400000000000002
64.0,66.4
9.0,77.4
80.0,119.2
78.0,101.2
24.0,74.4
81.0,67.80000000000001
79.0,57.0
22.0,82.80000000000001
60.0,102.4
82.0,63.599999999999994
24.0,39.2
92.0,80.8
73.0,64.6
41.0,82.2
24.0,16.799999999999997
57.0,77.4
87.0,101.0
99.0,139.4
53.0,48.599999999999994
45.0,75.80000000000001
0.0,47.2
71.0,98.6
3.0,1.7999999999999998
66.0,70.0
76.0,99.2
44.0,58.4
25.0,33.400000000000006
2.0,39.60000000000001
24.0,29.6
71.0,70.6
68.0,52.0
47.0,101.80000000000001
55.0,79.4
27.0,77.0
15.0,88.2
5.0,61.400000000000006
9.0,40.6
17.0,88.60000000000001
67.0,100.19999999999999
94.0,106.80000000000001
37.0,100.60000000000001
13.0,49.4
96.0,118.4
50.0,37.2
81.0,84.6
2.0,9.2
28.0,71.2
53.0,83.8
28.0,89.6
43.0,101.0
67.0,101.8
66.0,80.4
80.0,113.60000000000001
61.0,115.0
59.0,69.0
70.0,103.6
82.0,78.8
48.0,35.199999999999996
66.0,76.4
88.0,62.4
22.0,42.0
18.0,69.2
20.0,62.400000000000006
51.0,75.4
6.0,9.2
2.0,42.00000000000001
80.0,88.0
2.0,65.2
32.0,67.2
32.0,67.2
75.0,77.80000000000001
22.0,86.80000000000001
53.0,40.599999999999994
76.0,114.4
92.0,83.19999999999999
91.0,89.0
34.0,67.6
94.0,130.8
18.0,74.8
49.0,46.2
20.0,69.6
85.0,70.2
83.0,80.2
93.0,103.0
56.0,103.20000000000002
68.0,64.0
42.0,69.2
94.0,65.2
71.0,56.2
97.0,135.0
12.0,40.0
95.0,57.0
57.0,77.4
23.0,76.2
39.0,23.4
32.0,56.8
3.0,47.4
42.0,84.4
21.0,14.2
54.0,82.80000000000001
4.0,80.80000000000001
71.0,101.80000000000001
0.0,60.800000000000004
17.0,85.4
35.0,51.400000000000006
23.0,66.60000000000001
16.0,28.800000000000004
40.0,95.2
50.0,63.6
98.0,123.6
85.0,73.4
3.0,19.400000000000002
87.0,98.6
47.0,59.400000000000006
77.0,80.6
73.0,60.599999999999994
47.0,41.0
95.0,97.80000000000001
58.0,73.2
15.0,21.8
35.0,48.2
80.0,104.0
76.0,56.800000000000004
25.0,51.800000000000004
2.0,30.0
93.0,93.4
93.0,75.0
100.0,136.8
34.0,30.0
63.0,59.4
60.0,114.4
92.0,66.39999999999999
4.0,37.6
78.0,76.4
53.0,94.2
47.0,74.60000000000001
69.0,71.8
72.0,104.0
53.0,51.8
29.0,78.2
72.0,72.8
11.0,54.6
72.0,85.6
72.0,79.19999999999999
53.0,89.4
92.0,79.19999999999999
57.0,75.0
86.0,90.80000000000001
48.0,39.199999999999996
9.0,52.6
70.0,44.4
78.0,122.0
2.0,61.2
4.0,2.4
55.0,71.4
96.0,58.39999999999999
84.0,79.2
85.0,112.6
98.0,111.6
73.0,64.6
81.0,80.6
29.0,47.8
77.0,80.6
37.0,47.0
16.0,24.0
97.0,111.8
96.0,58.39999999999999
26.0,94.0
9.0,54.2
53.0,44.599999999999994
0.0,7.2
12.0,58.400000000000006
40.0,56.0
77.0,83.0
40.0,34.4
73.0,97.4
96.0,112.8
22.0,24.4
39.0,76.2
67.0,92.19999999999999
98.0,127.6
50.0,44.4
55.0,104.2
31.0,25.799999999999997
12.0,8.799999999999999
63.0,66.6
11.0,60.2
89.0,116.6
69.0,94.2
84.0,125.6
0.0,66.4
60.0,64.8
65.0,68.6
99.0,115.4
50.0,78.80000000000001
87.0,71.4
81.0,53.400000000000006
85.0,127.0
87.0,85.8
36.0,76.8
29.0,71.0
31.0,91.39999999999999
26.0,51.6
35.0,37.8
18.0,77.2
33.0,99.0
57.0,79.0
81.0,84.6
91.0,81.0
78.0,63.599999999999994
18.0,25.2
51.0,64.2
71.0,110.6
73.0,117.4
91.0,121.80000000000001
68.0,92.8
83.0,58.599999999999994
4.0,60.800000000000004
38.0,98.0
76.0,100.0
42.0,61.2
23.0,33.0
88.0,124.8
62.0,38.8
71.0,70.6
23.0,39.4
63.0,65.8
16.0,81.6
20.0,22.4
10.0,58.800000000000004
14.0,10.8
47.0,75.4
71.0,115.4
29.0,23.799999999999997
80.0,68.8
62.0,82.0
76.0,95.2
57.0,91.0
56.0,64.0
20.0,56.800000000000004
96.0,104.8
63.0,89.8
88.0,129.60000000000002
8.0,56.0
7.0,73.80000000000001
98.0,78.8
95.0,121.0
84.0,93.6
82.0,87.6
21.0,42.2
56.0,57.6
41.0,48.599999999999994
46.0,31.599999999999998
87.0,74.6
13.0,36.6
27.0,55.400000000000006
35.0,38.6
77.0,108.6
85.0,128.60000000000002
36.0,43.2
58.0,83.6
9.0,83.80000000000001
25.0,47.800000000000004
16.0,38.4
33.0,53.400000000000006
88.0,117.6
97.0,63.8
81.0,114.20000000000002
70.0,74.0
73.0,77.4
10.0,14.0
87.0,129.0
61.0,71.0
36.0,84.8
55.0,39.4
3.0,73.8
59.0,100.19999999999999
18.0,77.2
100.0,113.6
75.0,52.2
63.0,57.8
38.0,78.8
2.0,10.8
88.0,57.599999999999994
49.0,55.8
40.0,72.0
53.0,51.0
5.0,76.60000000000001
31.0,63.400000000000006
87.0,77.8
87.0,73.8
50.0,46.8
34.0,37.2
69.0,67.0
50.0,31.6
66.0,85.2
12.0,57.60000000000001
5.0,53.400000000000006
90.0,68.4
9.0,61.4
30.0,79.6
50.0,89.2
58.0,85.2
99.0,118.6
42.0,45.2
45.0,102.2
10.0,47.6
79.0,61.8
64.0,108.80000000000001
61.0,59.800000000000004
39.0,49.0
27.0,36.2
6.0,50.800000000000004
94.0,114.80000000000001
45.0,71.80000000000001
91.0,123.4
42.0,77.2
66.0,98.0
93.0,102.2
42.0,76.4
15.0,12.2
84.0,127.20000000000002
2.0,80.4
59.0,93.0
87.0,125.80000000000001
68.0,116.0
27.0,53.8
99.0,68.2
89.0,132.6
20.0,21.6
89.0,68.6
3.0,21.8
34.0,82.0
94.0,127.6
0.0,60.0
75.0,48.2
62.0,109.19999999999999
53.0,47.0
74.0,60.4
14.0,34.800000000000004
31.0,59.400000000000006
82.0,86.0
37.0,23.8
48.0,59.2
46.0,76.4
71.0,72.2
50.0,57.2
32.0,37.6
70.0,47.6
19.0,31.4
39.0,43.4
39.0,62.6
15.0,69.80000000000001
94.0,84.4
73.0,71.0
46.0,90.0
4.0,17.6
34.0,49.2
29.0,84.6
100.0,62.4
31.0,63.400000000000006
12.0,35.2
86.0,77.2
11.0,37.0
23.0,19.4
22.0,52.400000000000006
30.0,83.60000000000001
81.0,75.0
19.0,75.4
52.0,95.2
89.0,120.6
32.0,70.4
72.0,51.199999999999996
65.0,39.8
93.0,74.2
35.0,61.800000000000004
14.0,67.60000000000001
8.0,64.0
70.0,74.0
90.0,68.4
49.0,64.6
83.0,116.2
55.0,104.2
8.0,84.8
5.0,63.0
19.0,20.200000000000003
49.0,106.20000000000002
62.0,54.0
86.0,60.400000000000006
11.0,68.2
63.0,40.199999999999996
27.0,70.60000000000001
85.0,73.4
59.0,95.4
37.0,86.2
54.0,43.6
35.0,77.0
15.0,56.2
26.0,19.6
56.0,70.4
64.0,39.199999999999996
46.0,52.4
92.0,88.8
100.0,65.6
88.0,118.4
76.0,95.2
67.0,113.0
84.0,84.0
95.0,71.4
94.0,66.0
13.0,68.60000000000001
14.0,82.80000000000001
71.0,114.6
70.0,104.4
51.0,67.4
38.0,68.4
10.0,57.2
31.0,73.0
84.0,104.0
66.0,77.2
22.0,21.2
0.0,46.400000000000006
78.0,102.8
39.0,23.4
1.0,67.8
14.0,26.800000000000004
46.0,75.6
38.0,74.0
29.0,96.6
60.0,66.4
3.0,31.400000000000002
85.0,81.4
43.0,26.6
59.0,54.6
35.0,93.0
92.0,73.6
35.0,85.0
79.0,77.8
89.0,124.6
79.0,96.2
2.0,24.400000000000002
15.0,49.800000000000004
60.0,71.2
77.0,96.6
37.0,68.60000000000001
70.0,110.8
36.0,52.8
34.0,20.4
31.0,36.2
98.0,115.6
1.0,19.000000000000004
36.0,24.799999999999997
14.0,69.2
96.0,110.4
83.0,84.19999999999999
83.0,117.0
24.0,23.2
22.0,79.60000000000001
8.0,36.8
64.0,96.80000000000001
75.0,94.6
10.0,13.2
3.0,13.0
47.0,31.4
33.0,79.8
84.0,76.0
99.0,109.80000000000001
42.0,54.8
32.0,42.400000000000006
38.0,74.8
23.0,79.4
12.0,83.2
71.0,107.4
5.0,27.8
52.0,89.60000000000001
82.0,113.19999999999999
19.0,89.00000000000001
15.0,31.400000000000002
40.0,70.4
48.0,81.6
52.0,60.0
90.0,106.80000000000001
30.0,74.0
90.0,98.0
34.0,33.2
49.0,97.4
84.0,88.0
36.0,44.8
75.0,101.80000000000001
79.0,111.4
2.0,30.8
80.0,109.6
22.0,18.0
96.0,113.6
69.0,74.2
23.0,21.0
51.0,30.599999999999998
33.0,49.400000000000006
89.0,127.80000000000001
16.0,25.6
7.0,14.600000000000001
42.0,58.0
80.0,76.8
93.0,112.6
67.0,61.0
53.0,39.0
34.0,26.0
38.0,36.400000000000006
52.0,44.0
64.0,54.4
99.0,64.2
50.0,58.8
40.0,55.2
3.0,69.0
94.0,57.199999999999996
54.0,104.4
74.0,58.0
15.0,13.8
27.0,66.60000000000001
26.0,65.2
44.0,27.2
69.0,107.80000000000001
88.0,104.0
91.0,117.80000000000001
22.0,62.8
24.0,15.999999999999998
44.0,104.80000000000001
24.0,92.80000000000001
14.0,17.200000000000003
33.0,76.60000000000001
6.0,78.8
92.0,104.0
78.0,46.8
43.0,38.6
89.0,53.4
8.0,36.0
11.0,59.400000000000006
74.0,60.4
84.0,107.2
54.0,101.19999999999999
88.0,57.599999999999994
72.0,116.0
27.0,60.2
83.0,106.6
78.0,53.199999999999996
34.0,67.6
79.0,110.6
87.0,132.2
87.0,59.4
53.0,45.4
80.0,113.60000000000001
66.0,70.80000000000001
98.0,74.0
6.0,18.8
87.0,77.8
66.0,60.400000000000006
49.0,91.0
15.0,88.2
18.0,64.4
63.0,78.6
53.0,88.6
41.0,100.6
11.0,42.6
20.0,42.400000000000006
14.0,45.2
20.0,22.4
27.0,32.2
19.0,73.0
4.0,53.6
16.0,70.4
77.0,46.99999999999999
74.0,62.8
41.0,97.39999999999999
45.0,40.6
42.0,103.60000000000001
91.0,120.20000000000002
30.0,61.2
87.0,61.0
31.0,93.0
58.0,52.4
45.0,61.4
43.0,51.400000000000006
20.0,67.2
22.0,50.0
18.0,47.6
45.0,65.4
28.0,65.60000000000001
38.0,46.0
59.0,44.2
26.0,88.39999999999999
61.0,63.0
28.0,24.8
32.0,70.4
90.0,113.2
74.0,98.80000000000001
15.0,30.6
32.0,92.80000000000001
10.0,66.80000000000001
84.0,127.20000000000002
22.0,75.60000000000001
91.0,121.80000000000001
95.0,63.4
88.0,116.8
11.0,64.2
70.0,91.6
65.0,43.8
8.0,36.0
3.0,69.8
5.0,27.0
92.0,122.4
69.0,57.4
93.0,101.4
44.0,37.6
77.0,46.99999999999999
50.0,30.0
46.0,70.8
69.0,84.6
31.0,27.4
39.0,93.0
80.0,59.2
69.0,92.6
27.0,28.2
100.0,61.6
28.0,51.2
26.0,16.4
97.0,111.8
90.0,130.8
66.0,116.4
84.0,103.2
71.0,108.20000000000002
7.0,20.2
23.0,73.0
7.0,4.2
82.0,52.4
27.0,77.8
27.0,40.2
50.0,35.6
74.0,54.0
13.0,67.0
41.0,28.599999999999998
37.0,98.2
89.0,84.6
91.0,73.0
46.0,88.4
0.0,20.8
6.0,81.2
97.0,91.0
99.0,106.6
14.0,29.200000000000003
1.0,29.400000000000002
41.0,60.599999999999994
25.0,52.6
83.0,93.8
53.0,75.0
22.0,25.2
30.0,20.4
61.0,88.6
20.0,29.6
75.0,101.80000000000001
46.0,101.2
34.0,41.2
7.0,53.00000000000001
61.0,67.80000000000001
16.0,67.2
61.0,58.2
58.0,42.0
37.0,91.80000000000001
45.0,85.4
31.0,19.4
61.0,39.0
86.0,64.4
62.0,51.599999999999994
91.0,113.0
22.0,45.2
61.0,72.6
18.0,82.0
12.0,52.8
30.0,68.4
39.0,49.8
52.0,45.6
88.0,82.4
16.0,46.400000000000006
54.0,96.4
8.0,9.600000000000001
47.0,41.0
35.0,57.0
93.0,108.6
30.0,21.2
25.0,84.60000000000001
38.0,55.60000000000001
70.0,85.2
39.0,103.4
76.0,78.4
81.0,79.80000000000001
70.0,82.80000000000001
82.0,80.4
66.0,106.0
23.0,38.6
69.0,53.4
100.0,88.0
36.0,48.8
49.0,35.0
46.0,46.0
47.0,106.60000000000001
69.0,64.6
91.0,130.6
82.0,58.8
50.0,99.60000000000001
69.0,109.4
20.0,12.8
60.0,109.60000000000001
64.0,110.4
14.0,40.4
16.0,47.2
19.0,43.4
99.0,80.2
15.0,12.2
46.0,54.8
0.0,77.60000000000001
65.0,83.80000000000001
53.0,108.60000000000001
76.0,48.800000000000004
83.0,111.4
50.0,76.4
71.0,43.4
48.0,104.8
51.0,56.2
54.0,102.0
83.0,69.8
10.0,12.4
60.0,83.2
54.0,65.2
22.0,53.2
1.0,50.2
74.0,68.4
17.0,71.0
46.0,98.8
95.0,89.0
36.0,47.2
87.0,66.6
62.0,82.0
48.0,51.2
86.0,122.80000000000001
37.0,97.4
2.0,59.60000000000001
7.0,14.600000000000001
41.0,31.799999999999997
53.0,49.4
87.0,56.199999999999996
15.0,36.2
76.0,65.6
78.0,90.8
19.0,65.80000000000001
46.0,49.2
54.0,66.0
77.0,83.8
32.0,80.8
