X,Y
90.0,71.6
42.0,72.4
82.0,50.8
53.0,76.6
36.0,49.599999999999994
39.0,79.4
25.0,23.0
59.0,81.80000000000001
47.0,95.4
31.0,95.4
76.0,101.6
9.0,8.6
13.0,11.0
23.0,28.2
43.0,28.200000000000003
37.0,71.0
63.0,44.199999999999996
89.0,82.2
67.0,99.4
100.0,101.6
2.0,78.80000000000001
30.0,77.2
93.0,95.8
17.0,67.0
18.0,77.2
22.0,82.0
70.0,110.8
3.0,79.4
12.0,76.80000000000001
97.0,118.19999999999999
0.0,39.2
75.0,81.0
3.0,76.2
26.0,93.2
52.0,79.2
76.0,113.6
4.0,38.4
43.0,46.6
26.0,40.4
49.0,79.0
29.0,45.4
56.0,35.2
86.0,81.2
58.0,78.8
86.0,111.6
59.0,75.4
92.0,111.19999999999999
79.0,61.0
99.0,85.0
14.0,71.60000000000001
4.0,81.60000000000001
64.0,79.2
81.0,62.2
77.0,73.4
54.0,109.20000000000002
6.0,38.0
42.0,103.60000000000001
49.0,84.6
89.0,83.8
60.0,54.400000000000006
33.0,73.4
11.0,41.0
46.0,106.8
28.0,51.2
45.0,67.0
55.0,97.8
57.0,105.4
61.0,74.2
68.0,56.0
95.0,121.8
38.0,70.0
10.0,71.60000000000001
91.0,67.4
22.0,78.0
66.0,77.2
86.0,104.4
2.0,47.60000000000001
89.0,99.0
60.0,79.2
8.0,48.8
72.0,71.19999999999999
84.0,83.2
81.0,51.800000000000004
30.0,42.8
55.0,89.0
46.0,80.4
59.0,110.6
74.0,84.4
27.0,42.6
37.0,73.4
15.0,18.6
53.0,82.2
87.0,121.0
66.0,75.6
68.0,79.2
27.0,58.60000000000001
47.0,98.60000000000001
96.0,119.19999999999999
69.0,71.0
49.0,57.4
23.0,27.4
82.0,70.8
73.0,49.4
6.0,66.0
97.0,116.6
2.0,54.800000000000004
99.0,130.6
76.0,70.4
61.0,43.800000000000004
72.0,54.4
7.0,6.6000000000000005
22.0,45.2
78.0,54.0
22.0,74.0
70.0,65.2
64.0,107.19999999999999
90.0,93.2
76.0,48.800000000000004
27.0,76.2
77.0,95.8
41.0,61.400000000000006
35.0,73.80000000000001
75.0,109.0
55.0,72.2
47.0,42.6
88.0,88.0
0.0,35.2
90.0,78.8
94.0,101.2
42.0,65.2
58.0,106.8
18.0,44.4
44.0,88.0
3.0,49.0
77.0,60.599999999999994
69.0,79.80000000000001
30.0,53.2
8.0,32.0
46.0,90.8
65.0,68.6
63.0,61.0
59.0,48.2
29.0,32.6
64.0,41.6
72.0,77.6
69.0,101.4
33.0,47.8
59.0,65.0
97.0,81.4
19.0,32.2
98.0,101.2
0.0,51.2
30.0,34.0
40.0,29.6
1.0,25.400000000000002
94.0,88.4
66.0,105.20000000000002
97.0,63.0
86.0,105.2
20.0,35.2
100.0,80.0
72.0,82.4
7.0,10.600000000000001
84.0,129.6
85.0,103.80000000000001
46.0,74.0
87.0,125.80000000000001
62.0,98.8
